symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
CXCL17,-1,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
CXCR1,0,-1,0,1,-1,0,-1,-1,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,0,0,-1,0,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,0
CXCR2,0,-1,0,1,-1,0,-1,-1,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,0,0,-1,0,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,0
CXCR2P1,0,-1,0,1,-1,0,-1,-1,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,0,0,-1,0,-1,1,0,1,-1,1,0,0,-1,0,0,-1,0,0,0
CXCR4,0,1,0,1,-1,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,-1,0,1,-1,1,-1,0,-1,0,0,-1,0,0,1
CXCR5,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,-1,-1,1,-1,1,-1,0,1,2,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1
CXCR6,0,-1,-1,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1,1,0,1,0,0,1,0,1,-1,0,0,0,0,0,-1,-1
CXXC1,-1,-1,-1,0,0,-1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1
CXXC4,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,-1,-1
CXXC5,0,1,0,0,1,1,-1,0,0,0,-1,0,0,0,1,1,0,0,1,1,1,1,2,0,1,0,1,1,1,1,1,0,-1,0,1,0,0,1,-1,-1
CYB5A,-1,-1,-1,0,0,-1,-1,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,0,-1,0,-1,-1,0,-1,-2,-2,-1,-1,-1,-1
CYB5B,0,1,0,1,-1,1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,0,2,0,-1,-1,-1
CYB5D1,0,1,1,1,1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,1,-1,1,0,0
CYB5D2,0,1,1,1,1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,0,0,-2,-1,0,1,-1,1,0,0
CYB5R1,-1,1,0,1,1,1,0,-1,0,1,0,0,1,-1,0,2,0,1,0,1,1,-1,1,-1,0,1,1,0,1,0,0,0,-1,0,1,-1,1,1,-1,0
CYB5R2,0,1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,-1,0,1,0,0,-1,0,1,-1,0,-1,-1
CYB5R3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,2,1,1,-1,-1,0,-1,-1,-1,-1,0
CYB5R4,0,-1,-1,0,1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,1,0,0,0,0,0,1,0,-1,1,0,1,0,0,-1,1,1,0,0,-1,0,2,-1
CYB5RL,0,-1,-1,-1,1,0,-1,-1,0,0,1,0,1,0,0,-1,-1,1,0,-1,1,0,0,1,0,1,1,0,1,-1,1,-1,0,0,0,-1,-1,1,0,0
CYB561,0,1,1,1,-1,2,0,2,0,1,-1,0,0,0,1,1,0,-1,0,1,1,0,-1,1,1,0,1,1,1,1,1,1,0,-1,0,1,1,1,1,1
CYB561A3,0,-1,0,0,-1,0,0,-1,0,0,1,0,0,0,1,-1,0,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,-1
CYB561D1,1,-1,-1,-1,1,0,-1,0,0,1,1,0,1,0,0,1,1,1,0,-1,1,0,-1,1,1,-1,1,0,1,2,1,-1,2,0,0,0,-1,1,-1,1
CYB561D2,0,-1,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,0,0,-2,0,-1,-1,-1,-1,1,-1,1,0,0,1,0,-1,1,-1,1,-1,0,0,-1,-1,-1,-2,-1
CYBA,0,0,-1,1,-1,1,-1,1,0,0,1,0,1,0,-1,1,-1,1,0,0,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,-1,-2,-1,1,-1,-1,-1
CYBC1,0,0,1,1,-1,1,0,1,0,1,-1,0,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,0,1,1,1,1,0,-1,0,-1,0,1,1,1,-1,0
CYBRD1,0,1,0,1,-1,0,-1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,-1,0,0,-1,0,1,0,1,-1,0,-1,0,1,-1,0,1,1
CYC1,1,1,1,-1,1,1,0,1,0,1,2,1,0,1,2,0,0,-1,2,-1,1,0,2,2,1,-1,1,0,1,-1,0,1,0,0,0,-1,1,-1,0,0
