src,src_name,dest,dest_name,weight
33,ACTR3,26,ACTB,0.16041897920270762
33,ACTR3,27,ACTG1,0.1933548554467658
33,ACTR3,32,ACTR2,0.1830461174249649
33,ACTR3,34,ACTR3B,0.1825491450726986
33,ACTR3,35,ACTR3C,0.17928699993838867
33,ACTR3,2723,WHAMM,0.13365308629969755
34,ACTR3B,26,ACTB,0.0899759770060579
34,ACTR3B,27,ACTG1,0.17038679402321577
34,ACTR3B,35,ACTR3C,0.16568647728612027
35,ACTR3C,26,ACTB,0.16962583363056183
35,ACTR3C,27,ACTG1,0.16035821981495246
36,ACVR1,39,ACVR2A,0.1956443157978356
36,ACVR1,40,ACVR2B,0.20949714844270298
36,ACVR1,277,BMPR2,0.10756657396753629
36,ACVR1,598,CYBA,0.17215314197043577
36,ACVR1,1402,MAPK1,0.17698547802865505
36,ACVR1,1403,MAPK11,0.19844484546532234
36,ACVR1,1404,MAPK12,0.21121281633774439
36,ACVR1,1405,MAPK13,0.16534085758030415
36,ACVR1,1406,MAPK14,0.19879359876116118
36,ACVR1,1407,MAPK3,0.20171056346346936
36,ACVR1,1619,NEO1,0.2471843125919501
36,ACVR1,2071,RAC1,0.14772197868054113
36,ACVR1,2072,RAC3,0.11316621986528237
36,ACVR1,2351,SMAD1,0.10650260746479034
36,ACVR1,2352,SMAD2,0.1943290357788404
36,ACVR1,2353,SMAD3,0.16383262972036997
36,ACVR1,2355,SMAD5,0.09870718904130626
36,ACVR1,2358,SMAD9,0.24359576342006525
37,ACVR1B,39,ACVR2A,0.18873415670047203
37,ACVR1B,40,ACVR2B,0.1776222298697879
37,ACVR1B,2352,SMAD2,0.1534312398483356
37,ACVR1B,2353,SMAD3,0.17500573272506395
38,ACVR1C,39,ACVR2A,0.2200472125162681
38,ACVR1C,40,ACVR2B,0.12987228420873484
38,ACVR1C,2352,SMAD2,0.15784392443796
38,ACVR1C,2353,SMAD3,0.1445325973133246
39,ACVR2A,41,ACVRL1,0.14843367909391722
39,ACVR2A,598,CYBA,0.16235671068231264
39,ACVR2A,2071,RAC1,0.1580445139358441
