symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ZNF132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0
ZNF133,1,1,2,1,3,1,1,3,3,1,3,3,1,5,2,2,2,2,2,2,3,5,2,1,3,2,1,2,2,3,2,2,4,3,2,3,3,2,3,4
ZNF135,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
ZNF136,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,2,1,1,2,2,0,1,1,2,1,1
ZNF14,0,0,1,0,1,1,1,2,1,1,1,2,2,3,0,2,1,2,2,0,4,1,1,1,2,1,1,1,1,1,1,1,2,2,0,0,2,2,1,1
ZNF141,2,0,1,1,1,0,3,0,1,0,0,1,0,0,0,1,1,0,1,1,3,3,0,1,1,1,0,0,2,1,1,1,3,0,0,1,1,1,0,0
ZNF154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF155,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,1,1,2,0,2,1,3,1,1
ZNF160,1,0,2,1,1,2,2,3,2,2,4,6,3,5,0,2,2,2,3,0,3,2,4,1,3,2,1,1,2,2,3,2,6,4,0,2,3,4,2,6
ZNF169,1,0,0,0,1,0,1,1,3,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
ZNF177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF180,2,1,4,1,2,1,2,3,1,0,1,3,2,4,2,2,3,5,3,1,3,2,1,2,1,1,1,3,2,2,2,1,2,3,2,2,2,2,2,3
ZNF181,0,1,2,0,1,0,1,1,1,0,0,0,2,2,0,1,0,2,1,0,2,2,1,0,0,0,0,1,1,1,1,1,1,1,1,3,1,2,1,1
ZNF184,2,0,1,1,3,1,4,5,4,1,3,3,10,6,3,3,3,5,5,1,7,3,5,4,4,7,3,2,2,3,2,3,4,4,2,4,4,5,4,3
ZNF189,5,8,5,3,4,3,4,5,6,2,1,3,4,7,5,2,3,3,2,4,8,7,2,3,2,5,3,3,6,4,4,5,4,8,1,4,3,8,3,7
