kegg_gene,gene_num
CPSF1,534
CPSF2,535
CPSF3,536
CPSF4,537
CPSF6,538
CPSF7,539
CPT1A,540
CPT1B,541
CPT1C,542
CPT2,543
CR2,544
CREB1,545
CREB3,546
CREB3L1,547
CREB3L2,548
CREB3L3,549
CREB3L4,550
CREB5,551
CREBBP,552
CREM,553
CRHR1,554
CRHR2,555
CRK,556
CRKL,557
CRTC2,558
CRY1,559
CRY2,560
CRYAB,561
CSF1R,562
CSF3,563
CSK,564
CSNK1A1,565
CSNK1D,566
CSNK1E,567
CSNK1G1,568
CSNK1G2,569
CSNK1G3,570
CSNK2A2,571
CSNK2B,572
CSTF1,573
CSTF2T,574
CSTF3,575
CTBP1,576
CTBP2,577
CTF1,578
CTNNA1,579
CTNNA2,580
CTNNB1,581
CTNNBIP1,582
CTNND2,583
CTSB,584
CTSC,585
CTSD,586
CTSH,587
CTSL,588
CTSO,589
CTSV,590
CTSZ,591
CTTN,592
CTU1,593
CTU2,594
CUL1,595
CUL2,596
CUL3,597
CUL4A,598
CX3CL1,599
CX3CR1,600
CXCL1,601
CXCL12,602
CXCL14,603
CXCL16,604
CXCL2,605
CXCL3,606
CXCR4,607
CXCR5,608
CXXC4,609
CYBA,610
CYCS,611
CYFIP1,612
CYFIP2,613
CYLD,614
CYP17A1,615
CYP24A1,616
CYP27A1,617
CYTH1,618
CYTH2,619
CYTH3,620
DAAM1,621
DAAM2,622
DAB2IP,623
DAD1,624
DAG1,625
DAPK1,626
DAPK2,627
DAPK3,628
DAXX,629
DAZAP1,630
DBF4,631
DBI,632
DCC,633
DCHS2,634
DCT,635
DDB1,636
DDB2,637
DDIT3,638
DDIT4,639
DDOST,640
DDX20,641
DDX5,642
DDX58,643
DEPDC5,644
DERL1,645
DFFA,646
DHH,647
DHX33,648
DHX58,649
DIABLO,650
DIAPH1,651
DIAPH3,652
DICER1,653
DKK1,654
DKK2,655
DLG1,656
DLG2,657
DLG4,658
DLGAP1,659
DLL1,660
DLL3,661
DLL4,662
DNAJB1,663
DNAJC3,664
DNM1,665
DNM1L,666
DNM3,667
DNMT1,668
DOCK1,669
DOCK2,670
DOCK4,671
DPF1,672
DPF3,673
DPM1,674
DPM2,675
DPM3,676
DPYSL2,677
DPYSL5,678
DRD1,679
DRD2,680
DRD4,681
DRD5,682
DROSHA,683
DSC2,684
DSG2,685
DTX1,686
DTX3,687
DTX3L,688
DTX4,689
DUSP1,690
DUSP10,691
DUSP16,692
DUSP2,693
DUSP3,694
DUSP4,695
DUSP5,696
DUSP6,697
DUSP7,698
DUSP8,699
DVL1,700
DVL3,701
DYNC1H1,702
DYNC1I1,703
DYNC1I2,704
DYNC1LI1,705
DYNC1LI2,706
E2F1,707
E2F2,708
E2F3,709
E2F4,710
E2F5,711
EBAG9,712
ECSIT,713
EDARADD,714
EDN1,715
EDN2,716
EDN3,717
EDNRB,718
EEA1,719
EEF1A1,720
EEF1A2,721
EEF2,722
EEF2K,723
EFNA1,724
