locus_id,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
CRKL,0.0,0.0,0.00285,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.00502,0.0,0.00054,0.0,0.00405,0.00173,0.0,0.0,0.00249,0.0,0.0,0.00086,0.0,0.0,0.00995,0.0,0.0,0.0,0.0,0.0,0.0,0.00889,0.0,0.01125,0.0,0.00542,0.00088,0.01323,0.01218,0.0,0.0
CRTC2,0.034,0.0117,0.0198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242,0.0,0.0,0.0,0.00463,0.0,0.0,0.00793,0.0041,0.00123,0.0,0.0,0.0,0.0,0.0,0.0023,0.01573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03177,0.0,0.0,0.0,0.0
CRY1,0.010190000000000001,0.01012,0.01468,0.0,0.0,0.0,0.00811,0.0033799999999999998,0.0,0.0,0.007490000000000002,0.0,0.0,0.0,0.0,0.0,0.01574,0.0038299999999999996,0.00513,0.0,0.0,0.0,0.0,0.0,0.00253,0.00328,0.0025,0.0,0.00133,0.0,0.0,0.01351,0.0,0.01958,0.0,0.00953,0.0,0.0,0.0,0.0,0.0081
CRY2,0.02169,0.01621,0.02647,0.0,0.00242,0.0,0.0031899999999999997,0.00281,0.02014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05342,0.006679999999999999,0.0,0.00215,0.00633,0.0,0.0038,0.01108,0.0,0.0,0.006229999999999999,0.00228,0.0,0.0033299999999999996,0.0,0.0035299999999999997,0.01114,0.0,0.0,0.00865,0.00279,0.0,0.0,0.00923
CRYAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1R,1.0,0.0,0.8095399999999999,0.0,0.45,0.5,0.85,0.56522,0.0868,0.05305,0.0,0.68423,0.0,0.0,0.76473,0.0,0.08,0.0,0.0,0.95239,0.0,1.0,0.4167,0.0,0.7143,0.37931,0.31249,0.9853,0.5,0.8333,0.76875,0.0,0.0,0.0,0.8152,1.0,0.04,0.0,0.55265,0.0,0.0
CSF2RA,0.1088,0.3889,0.1644,0.1667,0.0833,1.0,0.6923,1.0,0.2537,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.88,0.0556,0.1667,1.0,0.6667,0.0,0.0,0.0,0.0,0.4,0.0476,0.1749,0.0,0.0,0.2581,0.3333,0.4286,0.0,0.0,0.125,0.0926,0.8889,0.0,1.0,0.76
CSF3,0.54647,0.9706,0.8252700000000001,0.78513,0.68847,0.1818,0.6631,0.9621299999999999,0.94253,0.4359,0.69815,0.6919,0.5036,0.5,0.0,0.4409,0.74988,0.31503000000000003,0.85104,0.77383,0.71429,0.7452,0.90769,0.70963,0.4271,0.55553,0.29427,0.53397,0.72087,0.53523,0.50583,0.8387,0.54588,0.75817,1.0,0.70897,0.23633,1.0,0.74624,0.85293,0.71929
CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSNK1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
