symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ADRA1D,-1,1,0,0,-1,-1,-2,0,-1,1,1,-1,0,1,-1,0,1,0,1,-1,-1,0,1,1,0,1,0,0,-1,1,1,0,1,0,1,0,0,1,0
ADRA2A,0,0,1,-2,0,0,1,0,0,-1,0,-1,0,0,-1,0,-1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1
ADRA2B,1,0,1,-1,0,-1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,-1,0,-1,0,0,-1,-1,0,0
ADRA2C,-1,-1,-1,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1
ADRB1,1,0,1,-2,0,0,2,0,0,-1,0,-1,0,-1,0,0,-1,-1,1,1,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
ADRB2,1,0,0,1,1,0,0,0,0,-1,0,0,0,1,1,0,0,1,1,1,1,2,1,2,0,1,1,1,1,1,-1,0,0,1,0,1,1,0,-1
AGAP2,-1,0,1,-1,1,0,-1,0,0,-1,0,0,0,1,0,-1,-1,1,1,-1,1,0,1,1,0,0,0,-1,-1,-1,0,0,-1,0,0,1,-1,-1,0
AGRN,-1,-1,-1,1,-1,-1,-1,2,0,1,0,1,-1,-1,-1,-1,-1,1,-1,1,2,-1,-1,1,1,1,0,1,-1,2,-1,0,0,0,-1,-1,0,0,0
AGTR1,0,0,0,0,1,1,0,0,1,1,-1,0,0,0,1,-1,0,1,0,1,2,0,-1,0,2,-1,0,1,1,1,1,1,1,0,0,1,0,1,1
AHR,1,1,2,1,1,1,0,0,2,1,1,0,1,0,0,0,1,1,1,2,0,-1,1,1,1,1,2,1,1,1,1,-1,1,1,1,1,1,1,1
AIFM2,0,0,1,0,1,0,-1,0,1,-1,0,1,0,-1,-1,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-2,-1
AIM2,1,0,1,1,1,1,0,0,1,0,0,0,0,1,-1,0,1,1,1,1,0,1,-1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
AIP,-1,0,0,-1,0,0,-1,0,1,1,0,0,0,1,1,1,1,2,-1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,2,-1,0,1,1,-1,-1,-1
AIPL1,1,1,1,1,-1,0,-1,0,-1,1,0,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,1,-1,1,0,0
AJUBA,-1,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,0
AKT1,-1,1,1,-1,-1,2,2,2,-1,1,1,-1,2,2,2,0,1,1,2,2,2,2,1,2,-2,2,1,1,1,-1,1,2,1,2,1,2,1,2,2
AKT1S1,1,1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,1,-1,1,0,-1,1,1,-1,1,-1,0,0,0,-1,-1,-1,-1,0
AKT2,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,2,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,0,0
ALDOA,1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,-1,-1,-1,1,0,-1,1,-1,-1,1,-1,1,1,-1,1,-1,0,-1,0,0,0,-1,-1,-1
ALDOC,0,1,1,-1,0,0,0,0,0,-1,0,1,0,1,-1,0,-1,0,1,-1,1,-1,-1,-1,0,1,1,0,-1,0,0,0,-1,0,0,1,1,0,0
ALG10B,0,1,2,-1,1,1,0,0,0,-1,0,0,0,1,1,-1,-1,1,1,0,1,2,-1,1,1,1,0,1,0,0,1,1,-1,0,0,1,0,1,1
ALG12,-1,-1,-1,-1,-1,-1,0,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,0
ALG3,-1,-1,0,0,1,1,0,0,1,1,-1,0,0,0,0,0,-1,1,-1,1,1,0,-1,0,1,-1,0,1,1,1,1,0,1,0,-1,2,1,-1,1
ALG6,0,-1,0,1,0,-1,0,0,0,1,0,0,0,0,-1,-1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,-1,0,1,0,0,-1,1,1,1
