src,dest
ARHGEF7,RAC1
ARHGEF7,RAC3
ARID1A,ACTL6A
ARID1A,PPARG
ARID1A,SMARCA2
ARID1A,SMARCA4
ARID1A,SMARCB1
ARID1A,SMARCC1
ARID1A,SMARCC2
ARID1B,ACTB
ARID1B,ACTG1
ARID1B,ACTL6A
ARID1B,ARID1A
ARID1B,DPF1
ARID1B,DPF3
ARID1B,PPARG
ARID1B,SMARCA2
ARID1B,SMARCA4
ARID1B,SMARCB1
ARID1B,SMARCC1
ARID1B,SMARCC2
ARID1B,SMARCD1
ARID1B,SMARCD2
ARID1B,SMARCD3
ARID1B,SMARCE1
ARID2,ACTB
ARID2,ACTG1
ARID2,ACTL6A
ARID2,ACTL6B
ARID2,DPF1
ARID2,DPF3
ARID2,PBRM1
ARID2,PHF10
ARID2,SMARCD1
ARID2,SMARCD2
ARID2,SMARCD3
ARID2,SMARCE1
ARNT,ALDOA
ARNT,ALDOC
ARNT,BCL2
ARNT,CDKN1A
ARNT,CDKN1B
ARNT,EDN1
ARNT,ENO1
ARNT,ENO2
ARNT,ENO3
ARNT,ENO4
ARNT,EPAS1
ARNT,EPO
ARNT,FLT1
ARNT,GAPDH
ARNT,HIF1A
ARNT,HK1
ARNT,HKDC1
ARNT,HMOX1
ARNT,LDHA
ARNT,LDHAL6A
ARNT,LDHB
ARNT,LDHC
ARNT,LTBR
ARNT,NOS3
ARNT,PDK1
ARNT,PFKFB3
ARNT,PFKL
ARNT,PFKM
ARNT,PFKP
ARNT,SERPINE1
ARNT,SLC2A1
ARNT,TEK
ARNT,TF
ARNT,TFRC
ARNT,VEGFA
ARNT2,EPAS1
ARNT2,HIF1A
ARNTL,BHLHE40
ARNTL,BHLHE41
ARNTL,CLOCK
ARNTL,CRY1
ARNTL,CRY2
ARNTL,NPAS2
ARNTL,NR1D1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER3
ARNTL,RORA
ARNTL,RORB
ARPC1A,ACTB
ARPC1A,ACTG1
ARPC1A,WASL
ARPC1B,ACTB
ARPC1B,ACTG1
ARPC1B,WASL
ARPC2,ACTB
ARPC2,ACTG1
ARPC2,WASL
ARPC3,ACTB
ARPC3,ACTG1
ARPC3,WASL
ARPC4,ACTB
ARPC4,ACTG1
ARPC4,WASL
ARPC5,ACTB
ARPC5,ACTG1
ARPC5,WASL
ARPC5L,ACTB
ARPC5L,ACTG1
ARPC5L,WASL
ARRB1,ARRB2
ARRB1,BRAF
ARRB1,CCR10
ARRB1,CCR7
ARRB1,CX3CR1
ARRB1,CXCR4
ARRB1,CXCR5
ARRB1,GLI1
ARRB1,GLI2
ARRB1,GLI3
ARRB1,GPR161
ARRB1,GRK1
ARRB1,MAPK1
ARRB1,MAPK3
ARRB1,OR10G7
ARRB1,OR2L13
ARRB1,OR2V2
ARRB1,OR2Z1
ARRB1,OR3A3
ARRB1,OR4D5
ARRB1,OR51F1
ARRB1,OR5I1
ARRB1,OR6B2
ARRB1,OR6B3
ARRB1,OR6K6
ARRB1,OR8B8
ARRB1,RAF1
ARRB2,BRAF
ARRB2,CCR10
ARRB2,CCR7
ARRB2,CX3CR1
ARRB2,CXCR4
ARRB2,CXCR5
ARRB2,GLI1
ARRB2,GLI2
ARRB2,GLI3
ARRB2,GPR161
ARRB2,GRK1
ARRB2,MAPK1
ARRB2,MAPK3
ARRB2,OR10G7
ARRB2,OR2L13
ARRB2,OR2V2
ARRB2,OR2Z1
ARRB2,OR3A3
ARRB2,OR4D5
ARRB2,OR51F1
ARRB2,OR5I1
ARRB2,OR6B2
ARRB2,OR6B3
ARRB2,OR6K6
ARRB2,OR8B8
ARRB2,PPP2CA
ARRB2,PPP2CB
ARRB2,PPP2R1A
ARRB2,PPP2R2A
ARRB2,PPP2R2C
ARRB2,PPP2R2D
ARRB2,PPP2R3A
ARRB2,PPP2R3C
ARRB2,PPP2R5A
ARRB2,PPP2R5B
ARRB2,PPP2R5C
ARRB2,PPP2R5E
ARRB2,RAF1
ASAP1,ARF6
ASAP2,ARF6
ASAP3,ARF6
ASH2L,CDKN1B
ASH2L,CDKN2A
ASH2L,CDKN2B
ASH2L,CDKN2C
ATF1,ATF4
ATF1,CREB3L1
ATF1,CREB3L2
ATF1,CREB3L3
ATF1,CREB5
ATF2,ARC
ATF2,ATF1
ATF2,ATF4
ATF2,ATF6B
ATF2,BCL2
ATF2,BDNF
ATF2,CCND1
ATF2,CDKN1A
ATF2,CPT1A
ATF2,CPT1B
ATF2,CPT1C
ATF2,CREB3L1
ATF2,CREB3L2
ATF2,CREB3L3
ATF2,CREB3L4
ATF2,CREB5
ATF2,CREBBP
ATF2,CRTC2
ATF2,CYP17A1
ATF2,EP300
ATF2,FOS
ATF2,FOSB
ATF2,G6PC3
ATF2,INS
ATF2,NPY
ATF2,PCK2
ATF2,PCNA
ATF2,PDYN
ATF2,POMC
ATF2,PPARGC1A
